tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
114295,https://www.gem.wiki/Eren-1_power_station,Turkey,Kırklareli,Eren-1 TES Unit 1,Eren-1 power station,,DEBA madencilik,Deba Madencilik,245,Cancelled,,non-EU Europe,41.632,27.03
114296,https://www.gem.wiki/Eren-1_power_station,Turkey,Kırklareli,Eren-1 TES Unit 2,Eren-1 power station,,DEBA madencilik,Deba Madencilik,245,Cancelled,,non-EU Europe,41.632,27.03
114311,https://www.gem.wiki/Uluk%C3%B6y_power_station,Turkey,Afyon,Uluköy power station Unit 2,Uluköy power station,,KLK Enerji Üretim A.Ş.,"Kolin Group, Limak Holding, Kalyon Group",160,Shelved,,non-EU Europe,38.1999839,30.2705505
114312,https://www.gem.wiki/Uluk%C3%B6y_power_station,Turkey,Afyon,Uluköy power station Unit 3,Uluköy power station,,KLK Enerji Üretim A.Ş.,"Kolin Group, Limak Holding, Kalyon Group",160,Shelved,,non-EU Europe,38.1999839,30.2705505
114313,https://www.gem.wiki/Uluk%C3%B6y_power_station,Turkey,Afyon,Uluköy power station Unit 4,Uluköy power station,,KLK Enerji Üretim A.Ş.,"Kolin Group, Limak Holding, Kalyon Group",160,Shelved,,non-EU Europe,38.1999839,30.2705505
114371,https://www.gem.wiki/%C3%87oban_Y%C4%B1ld%C4%B1z_power_station,Turkey,Konya,Çoban Yıldız power station,Çoban Yıldız power station,,Konya Şeker,Konya Şeker,37,Operating,2013,non-EU Europe,37.5572607,32.8479949
114372,https://www.gem.wiki/Selena_power_station,Turkey,Hatay,Selena power station Unit 2,Selena power station,,Selena Elektrik Üretim A.Ş.,Bendis Enerji,450,Cancelled,,non-EU Europe,36.9214725,36.0475297
114500,https://www.gem.wiki/Diler_Elbistan_power_station,Turkey,Kahramanmaraş,Diler Elbistan power station Unit 2,Diler Elbistan power station,,Diler Elektrik Üretim,Diler Holding,200,Pre-permit,,non-EU Europe,38.17,37.37
114501,https://www.gem.wiki/Atlas_Enerji_power_station,Turkey,Hatay,Atlas Enerji power station Unit 2,Atlas Enerji power station,,Atlas Enerji Üretim A.Ş.,Diler Holding,600,Operating,2014,non-EU Europe,36.69028,36.20909
114512,https://www.gem.wiki/%C5%9E%C4%B1rnak_Galata_power_station,Turkey,Şırnak,Şırnak Galata power station,Şırnak Galata power station,,Galata Enerji Üretim Sanayi ve Ticaret,Global Yatırım Holding,270,Cancelled,,non-EU Europe,37.468,42.391
114522,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-C power station Unit 2,Afşin-Elbistan-C power station,,EÜAŞ,EÜAŞ,600,Pre-permit,2024,non-EU Europe,38.350818,37.00706
114523,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-C power station Unit 3,Afşin-Elbistan-C power station,,EÜAŞ,EÜAŞ,600,Pre-permit,2025,non-EU Europe,38.350818,37.00706
114708,https://www.gem.wiki/Albayrak_Varaka_Paper_power_station,Turkey,Balıkesir,Albayrak Varaka Paper power station,Albayrak Varaka Paper power station,,Varaka Paper,Albayrak Group,42,Operating,2019,non-EU Europe,39.5594741,27.9695355
114711,https://www.gem.wiki/Kipas_MMP_power_station,Turkey,Aydin,Kipas MMP power station,Kipas MMP power station,,Kipas Holding,Kipas Holding,57,Operating,2020,non-EU Europe,37.7671967,27.445695
114712,https://www.gem.wiki/w/index.php?title=Eti_Maden_Bandirma_power_station&action=history,Turkey,Belikisir,Eti Maden Bandirma power station,Eti Maden Bandirma power station,,Etimaden,Etimaden,"49,7",Operating,2014,non-EU Europe,40.3289206,27.9904146
114799,https://www.gem.wiki/Avdan_power_station,Turkey,Denizli,Avdan power station Unit 1,Avdan power station,,Avdan Madencilik Enerji San. ve Tic. A.Ş.,Avdan Madencilik Enerji San. ve Tic. A.Ş.,150,Cancelled,,non-EU Europe,37.7502366,29.094284
114800,https://www.gem.wiki/Avdan_power_station,Turkey,Denizli,Avdan power station Unit 2,Avdan power station,,Avdan Madencilik Enerji San. ve Tic. A.Ş.,Avdan Madencilik Enerji San. ve Tic. A.Ş.,150,Cancelled,,non-EU Europe,37.7502366,29.094284
